 n |  name |  university |  phd_year |  gender |  fa_n_pubs_pre_phd |  fa_n_pubs_prost_phd |  fa_year_last |  all_n_pubs_pre_phd |  all_n_pubs_prost_phd |  all_year_last |  fa_2004 |  fa_2005 |  fa_2006 |  fa_2007 |  fa_2008 |  fa_2009 |  fa_2010 |  fa_2011 |  fa_2012 |  fa_2013 |  fa_2014 |  fa_2015 |  fa_2016 |  all_2004 |  all_2005 |  all_2006 |  all_2007 |  all_2008 |  all_2009 |  all_2010 |  all_2011 |  all_2012 |  all_2013 |  all_2014 |  all_2015 |  all_2016 | foo
 4 | Palmer, Eric Edward | The University of Arizona | 2009 | male | 3 | 2 | 2011 | 3 | 9 | 2017 | 0 | 0 | 0 | 1 | 1 | 1 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 0 | 2 | 1 | 1 | 2 | 1 | 1 |
 7 | Dolle, Ethan Michael | The University of Arizona | 2009 | male | 3 | 0 | 2009 | 4 | 0 | 2009 | 0 | 0 | 0 | 0 | 1 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 3 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 19 | Menendez-Delmestre, Karin | California Institute of Technology | 2009 | female | 1 | 0 | 2009 | 8 | 39 | 2016 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 3 | 1 | 2 | 3 | 5 | 8 | 4 | 8 | 7 | 4 |
 22 | Chiang, Hsin Cynthia | California Institute of Technology | 2009 | male | 1 | 1 | 2010 | 1 | 106 | 2017 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 2 | 2 | 0 | 3 | 33 | 19 | 46 |
 23 | Collins, Benjamin Forster | California Institute of Technology | 2009 | male | 5 | 1 | 2010 | 6 | 1 | 2010 | 0 | 0 | 1 | 1 | 1 | 2 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 1 | 1 | 2 | 1 | 0 | 0 | 0 | 0 | 0 | 0 |
 24 | Cameron, Patrick Brian | California Institute of Technology | 2009 | male | 5 | 0 | 2009 | 24 | 3 | 2013 | 0 | 1 | 0 | 2 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 4 | 5 | 7 | 6 | 2 | 1 | 0 | 1 | 1 | 0 | 0 | 0 |
 25 | Corder, Stuartt Allan | California Institute of Technology | 2009 | male | 4 | 0 | 2009 | 10 | 32 | 2017 | 0 | 1 | 0 | 0 | 1 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 2 | 6 | 0 | 3 | 5 | 4 | 4 | 9 | 5 |
 26 | Cenko, S. Bradley | California Institute of Technology | 2009 | male | 5 | 9 | 2017 | 53 | 195 | 2017 | 0 | 0 | 2 | 0 | 1 | 2 | 2 | 1 | 2 | 1 | 0 | 1 | 1 | 2 | 7 | 12 | 8 | 10 | 14 | 11 | 27 | 31 | 27 | 33 | 25 | 32 |
 27 | Fang, Wenjuan | Columbia University | 2009 | female | 5 | 5 | 2017 | 13 | 9 | 2017 | 0 | 0 | 0 | 1 | 3 | 1 | 1 | 1 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 2 | 2 | 6 | 3 | 3 | 1 | 1 | 2 | 0 | 0 | 0 |
 35 | Mroczkowski, Tony | Columbia University | 2009 | male | 2 | 4 | 2015 | 4 | 45 | 2017 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 1 | 2 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 1 | 0 | 3 | 3 | 6 | 7 | 4 | 5 | 8 | 9 |
 38 | Schmidt, Fabian | The University of Chicago | 2009 | male | 14 | 18 | 2016 | 36 | 90 | 2017 | 0 | 0 | 0 | 1 | 5 | 8 | 4 | 2 | 3 | 3 | 2 | 1 | 3 | 0 | 1 | 0 | 5 | 15 | 15 | 14 | 18 | 11 | 10 | 5 | 16 | 10 |
 41 | Cooksey, Kathy L. | University of California, Santa Cruz | 2009 | female | 3 | 3 | 2013 | 5 | 14 | 2016 | 0 | 0 | 0 | 0 | 1 | 2 | 1 | 1 | 0 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 1 | 3 | 1 | 4 | 1 | 4 | 1 | 2 | 1 |
 47 | Basu-Zych, Antara R. | Columbia University | 2009 | female | 5 | 4 | 2016 | 10 | 22 | 2017 | 0 | 0 | 0 | 1 | 0 | 4 | 0 | 1 | 0 | 2 | 0 | 0 | 1 | 0 | 0 | 0 | 1 | 1 | 8 | 3 | 4 | 1 | 6 | 2 | 0 | 4 |
 50 | Brown, Peter J. | The Pennsylvania State University | 2009 | male | 11 | 24 | 2017 | 59 | 112 | 2017 | 2 | 1 | 0 | 1 | 4 | 3 | 5 | 2 | 2 | 2 | 3 | 5 | 3 | 8 | 7 | 8 | 9 | 12 | 15 | 12 | 11 | 15 | 13 | 13 | 21 | 19 |
 65 | Montgomery, Ryan Michael | University of California, Santa Cruz | 2009 | male | 2 | 0 | 2009 | 4 | 0 | 2009 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 68 | Fisher, Ryan P. | Princeton University | 2009 | male | 1 | 0 | 2009 | 6 | 93 | 2017 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 3 | 1 | 4 | 8 | 10 | 9 | 14 | 7 | 29 |
 74 | Venters, Tonia M. | The University of Chicago | 2009 | female | 4 | 3 | 2013 | 16 | 19 | 2016 | 0 | 0 | 0 | 1 | 1 | 2 | 1 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 4 | 6 | 6 | 7 | 4 | 0 | 2 | 1 | 1 | 4 |
 76 | Dahl, Carl Eric | Princeton University | 2009 | male | 1 | 1 | 2012 | 7 | 13 | 2016 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 2 | 3 | 1 | 4 | 2 | 2 | 1 | 1 | 2 |
 85 | Zhyglo, Andriy V. | The University of Chicago | 2009 | male | 1 | 0 | 2009 | 1 | 0 | 2009 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 87 | Banks, Maria Elaine | The University of Arizona | 2009 | female | 4 | 3 | 2015 | 6 | 21 | 2016 | 0 | 0 | 0 | 0 | 2 | 2 | 1 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 2 | 2 | 2 | 4 | 2 | 2 | 1 | 0 | 4 | 8 |
 89 | Dundas, Colin Morrisey | The University of Arizona | 2009 | male | 3 | 13 | 2017 | 9 | 33 | 2017 | 0 | 0 | 0 | 1 | 1 | 1 | 4 | 0 | 1 | 1 | 1 | 3 | 1 | 0 | 0 | 0 | 3 | 3 | 3 | 8 | 4 | 1 | 3 | 3 | 6 | 5 |
 91 | Friedman, Robert Bryan | The University of Chicago | 2009 | male | 5 | 0 | 2009 | 12 | 4 | 2011 | 0 | 0 | 0 | 0 | 3 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 5 | 7 | 3 | 1 | 0 | 0 | 0 | 0 | 0 |
 94 | Lupu, Roxana-Elena | The Johns Hopkins University | 2009 | female | 4 | 4 | 2016 | 9 | 31 | 2017 | 1 | 0 | 1 | 1 | 0 | 1 | 0 | 1 | 1 | 0 | 1 | 0 | 1 | 1 | 0 | 2 | 4 | 0 | 2 | 2 | 8 | 3 | 4 | 6 | 1 | 4 |
 95 | Murphy, Kendrah | The Johns Hopkins University | 2009 | female | 5 | 3 | 2017 | 9 | 28 | 2017 | 0 | 0 | 0 | 1 | 0 | 4 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 2 | 1 | 6 | 5 | 7 | 2 | 1 | 6 | 3 | 2 |
