 n |  name |  university |  phd_year |  gender |  fa_n_pubs_pre_phd |  fa_n_pubs_prost_phd |  fa_year_last |  all_n_pubs_pre_phd |  all_n_pubs_prost_phd |  all_year_last |  fa_1991 |  fa_1992 |  fa_1993 |  fa_1994 |  fa_1995 |  fa_1996 |  fa_1997 |  fa_1998 |  fa_1999 |  fa_2000 |  fa_2001 |  fa_2002 |  fa_2003 |  fa_2004 |  fa_2005 |  fa_2006 |  fa_2007 |  fa_2008 |  fa_2009 |  fa_2010 |  fa_2011 |  fa_2012 |  fa_2013 |  fa_2014 |  fa_2015 |  fa_2016 |  all_1991 |  all_1992 |  all_1993 |  all_1994 |  all_1995 |  all_1996 |  all_1997 |  all_1998 |  all_1999 |  all_2000 |  all_2001 |  all_2002 |  all_2003 |  all_2004 |  all_2005 |  all_2006 |  all_2007 |  all_2008 |  all_2009 |  all_2010 |  all_2011 |  all_2012 |  all_2013 |  all_2014 |  all_2015 |  all_2016 | foo
 1 | Siess, Lionel | Space Telescope Science Institute, 3700 San Martin drive, Baltimore, MD 21218, USA | 1996 | male | 3 | 19 | 2014 | 4 | 56 | 2016 | 0 | 0 | 0 | 0 | 0 | 3 | 3 | 0 | 3 | 1 | 0 | 1 | 2 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 4 | 4 | 1 | 4 | 1 | 1 | 1 | 2 | 2 | 3 | 4 | 3 | 1 | 4 | 2 | 2 | 3 | 3 | 8 | 4 | 3 |
 2 | Lee, Hee-Won | California Institute of Technology | 1996 | male | 9 | 43 | 2016 | 17 | 95 | 2017 | 0 | 0 | 0 | 2 | 3 | 4 | 8 | 8 | 2 | 4 | 2 | 1 | 3 | 2 | 3 | 1 | 2 | 1 | 1 | 0 | 1 | 1 | 1 | 1 | 0 | 1 | 1 | 1 | 0 | 4 | 5 | 6 | 10 | 8 | 4 | 9 | 9 | 7 | 6 | 6 | 5 | 1 | 5 | 4 | 2 | 2 | 2 | 2 | 2 | 4 | 4 | 2 |
 6 | Bahukutumbi, Radha Pillapakkam | CALIFORNIA INSTITUTE OF TECHNOLOGY. | 1996 | female | 1 | 0 | 1996 | 1 | 0 | 1996 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 14 | Dixon, William Van Dyke | THE JOHNS HOPKINS UNIVERSITY. | 1996 | male | 6 | 8 | 2008 | 13 | 21 | 2011 | 0 | 0 | 0 | 1 | 1 | 4 | 0 | 2 | 0 | 0 | 2 | 1 | 0 | 1 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 3 | 1 | 1 | 1 | 2 | 5 | 1 | 2 | 0 | 2 | 2 | 2 | 0 | 3 | 0 | 2 | 2 | 2 | 2 | 0 | 1 | 0 | 0 | 0 | 0 | 0 |
 17 | Gurwell, Mark Andrew | CALIFORNIA INSTITUTE OF TECHNOLOGY. | 1996 | male | 5 | 5 | 2007 | 7 | 128 | 2017 | 0 | 0 | 1 | 0 | 3 | 1 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 1 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 3 | 2 | 0 | 0 | 1 | 3 | 0 | 0 | 0 | 3 | 3 | 3 | 2 | 7 | 8 | 15 | 24 | 10 | 13 | 8 | 15 | 10 |
 21 | Chen, Pei-Long | CALIFORNIA INSTITUTE OF TECHNOLOGY. | 1996 | male | 1 | 4 | 2015 | 2 | 45 | 2017 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 2 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 3 | 5 | 5 | 3 | 3 | 3 | 4 | 3 | 1 | 4 | 8 |
 33 | Yan, Lin | CALIFORNIA INSTITUTE OF TECHNOLOGY. | 1996 | female | 5 | 15 | 2017 | 10 | 130 | 2017 | 0 | 0 | 0 | 1 | 1 | 3 | 0 | 1 | 1 | 1 | 0 | 0 | 1 | 3 | 2 | 0 | 1 | 0 | 0 | 1 | 1 | 0 | 1 | 0 | 1 | 0 | 0 | 1 | 0 | 1 | 2 | 6 | 1 | 1 | 4 | 2 | 1 | 3 | 1 | 8 | 8 | 7 | 13 | 3 | 10 | 12 | 10 | 10 | 7 | 6 | 7 | 6 |
 35 | Alvarez, Donald L. | PRINCETON UNIVERSITY. | 1996 | male | 2 | 0 | 1996 | 2 | 3 | 2000 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 1 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 37 | Chakrabarty, Deepto | Division of Physics, Mathematics, and Astronomy, California Insititute of Technology, Pasadena, CA | 1996 | male | 6 | 45 | 2017 | 11 | 193 | 2017 | 1 | 0 | 1 | 1 | 1 | 2 | 9 | 4 | 1 | 1 | 4 | 2 | 3 | 2 | 3 | 1 | 2 | 3 | 2 | 2 | 1 | 0 | 1 | 2 | 1 | 0 | 1 | 0 | 1 | 2 | 1 | 6 | 16 | 7 | 7 | 3 | 18 | 12 | 13 | 8 | 7 | 7 | 9 | 8 | 9 | 9 | 5 | 9 | 8 | 13 | 9 | 12 |
 38 | Dorman, Victoria | PRINCETON UNIVERSITY. | 1996 | female | 4 | 0 | 1996 | 6 | 0 | 1996 | 0 | 0 | 1 | 0 | 2 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 3 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 44 | Small, Todd A. | CALIFORNIA INSTITUTE OF TECHNOLOGY. | 1996 | male | 2 | 5 | 1999 | 8 | 90 | 2011 | 0 | 1 | 0 | 0 | 0 | 1 | 3 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 2 | 0 | 3 | 1 | 1 | 3 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 35 | 5 | 36 | 3 | 3 | 2 | 1 | 0 | 0 | 0 | 0 | 0 |
 52 | Im, Myungshin | THE JOHNS HOPKINS UNIVERSITY. | 1996 | None | 4 | 11 | 2015 | 13 | 168 | 2017 | 0 | 0 | 0 | 0 | 2 | 2 | 1 | 0 | 1 | 0 | 1 | 2 | 0 | 1 | 1 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 1 | 2 | 5 | 5 | 4 | 1 | 1 | 0 | 2 | 3 | 1 | 8 | 8 | 7 | 11 | 10 | 11 | 14 | 10 | 16 | 9 | 12 | 27 | 6 |
 53 | Kundic, Tomislav | PRINCETON UNIVERSITY. | 1996 | male | 5 | 2 | 1997 | 8 | 10 | 2003 | 0 | 0 | 2 | 0 | 2 | 1 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 3 | 3 | 4 | 1 | 1 | 2 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 54 | Larkin, James Edwin | CALIFORNIA INSTITUTE OF TECHNOLOGY. | 1996 | male | 5 | 5 | 2006 | 10 | 73 | 2017 | 0 | 0 | 0 | 2 | 1 | 2 | 0 | 1 | 1 | 2 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 5 | 2 | 3 | 1 | 3 | 2 | 12 | 3 | 5 | 3 | 2 | 2 | 5 | 6 | 2 | 3 | 1 | 0 | 2 | 1 | 3 | 7 | 6 |
 56 | Weisstein, Eric Wolfgang | CALIFORNIA INSTITUTE OF TECHNOLOGY. | 1996 | male | 3 | 0 | 1996 | 8 | 2 | 2002 | 0 | 0 | 0 | 1 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 2 | 5 | 0 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
