 n |  name |  university |  phd_year |  gender |  fa_n_pubs_pre_phd |  fa_n_pubs_prost_phd |  fa_year_last |  all_n_pubs_pre_phd |  all_n_pubs_prost_phd |  all_year_last |  fa_1996 |  fa_1997 |  fa_1998 |  fa_1999 |  fa_2000 |  fa_2001 |  fa_2002 |  fa_2003 |  fa_2004 |  fa_2005 |  fa_2006 |  fa_2007 |  fa_2008 |  fa_2009 |  fa_2010 |  fa_2011 |  fa_2012 |  fa_2013 |  fa_2014 |  fa_2015 |  fa_2016 |  all_1996 |  all_1997 |  all_1998 |  all_1999 |  all_2000 |  all_2001 |  all_2002 |  all_2003 |  all_2004 |  all_2005 |  all_2006 |  all_2007 |  all_2008 |  all_2009 |  all_2010 |  all_2011 |  all_2012 |  all_2013 |  all_2014 |  all_2015 |  all_2016 | foo
 1 | Dreyer, Olaf | THE PENNSYLVANIA STATE UNIVERSITY | 2001 | male | 2 | 6 | 2014 | 3 | 7 | 2014 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 3 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 2 | 0 | 3 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 |
 3 | Lopez-Aleman, Ramon | THE PENNSYLVANIA STATE UNIVERSITY | 2001 | male | 1 | 0 | 2001 | 1 | 2 | 2004 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 9 | Fairhurst, Stephen | THE PENNSYLVANIA STATE UNIVERSITY | 2001 | male | 2 | 4 | 2011 | 6 | 185 | 2017 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 1 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 3 | 2 | 0 | 2 | 3 | 12 | 3 | 9 | 22 | 19 | 10 | 11 | 19 | 12 | 17 | 8 | 29 |
 10 | Iyer, Sharada Ramlingam | THE UNIVERSITY OF ARIZONA | 2001 | female | 2 | 0 | 2001 | 2 | 0 | 2001 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 18 | Wozniak, Przemyslaw Remigiusz | PRINCETON UNIVERSITY | 2001 | male | 6 | 1 | 2002 | 38 | 71 | 2017 | 1 | 0 | 2 | 0 | 1 | 2 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 3 | 2 | 9 | 10 | 8 | 6 | 8 | 6 | 6 | 3 | 7 | 2 | 2 | 1 | 2 | 1 | 2 | 5 | 3 | 5 | 12 |
 25 | Crill, Brendan P. | CALIFORNIA INSTITUTE OF TECHNOLOGY | 2001 | male | 1 | 1 | 2003 | 9 | 178 | 2017 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 3 | 4 | 6 | 7 | 0 | 2 | 6 | 5 | 1 | 1 | 8 | 24 | 1 | 11 | 37 | 14 | 54 |
 28 | Luke, David Russell | UNIVERSITY OF WASHINGTON | 2001 | male | 1 | 0 | 2001 | 1 | 0 | 2001 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 29 | Lee, Yuan-Tai (Anthony) | CALIFORNIA INSTITUTE OF TECHNOLOGY | 2001 | male | 3 | 3 | 2013 | 21 | 25 | 2017 | 1 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 3 | 2 | 2 | 5 | 4 | 5 | 1 | 0 | 1 | 0 | 1 | 1 | 0 | 1 | 1 | 3 | 1 | 1 | 0 | 4 | 5 |
 31 | Gal, Roy R. | CALIFORNIA INSTITUTE OF TECHNOLOGY | 2001 | male | 3 | 8 | 2009 | 15 | 55 | 2017 | 0 | 0 | 0 | 0 | 2 | 1 | 0 | 1 | 3 | 1 | 0 | 0 | 2 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 2 | 0 | 3 | 4 | 5 | 1 | 5 | 8 | 5 | 3 | 0 | 3 | 7 | 2 | 6 | 6 | 1 | 5 | 0 | 0 |
 32 | Jenet, Fredrick A. | CALIFORNIA INSTITUTE OF TECHNOLOGY | 2001 | male | 7 | 10 | 2015 | 8 | 74 | 2017 | 0 | 1 | 2 | 0 | 1 | 3 | 0 | 1 | 3 | 2 | 1 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 1 | 0 | 1 | 1 | 2 | 0 | 1 | 3 | 1 | 1 | 3 | 2 | 2 | 1 | 4 | 7 | 6 | 4 | 6 | 9 | 9 | 10 | 6 |
 34 | Qi, Chunhua | CALIFORNIA INSTITUTE OF TECHNOLOGY | 2001 | female | 1 | 11 | 2015 | 3 | 67 | 2017 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 1 | 0 | 1 | 1 | 1 | 0 | 0 | 1 | 0 | 3 | 0 | 2 | 0 | 0 | 0 | 0 | 1 | 0 | 2 | 0 | 2 | 7 | 2 | 2 | 3 | 6 | 5 | 4 | 7 | 4 | 6 | 1 | 12 | 3 |
 35 | Rodgers, Bernadette Marie | UNIVERSITY OF WASHINGTON | 2001 | female | 2 | 1 | 2002 | 5 | 8 | 2013 | 0 | 1 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 0 | 0 | 2 | 1 | 1 | 0 | 2 | 0 | 1 | 0 | 0 | 0 | 1 | 1 | 1 | 0 | 0 | 0 |
