n | name | university | phd_year | gender | fa_n_pubs_pre_phd | fa_n_pubs_prost_phd | fa_year_last | all_n_pubs_pre_phd | all_n_pubs_prost_phd | all_year_last |  fa_1994 | fa_1995 | fa_1996 | fa_1997 | fa_1998 | fa_1999 | fa_2000 | fa_2001 | fa_2002 | fa_2003 | fa_2004 | fa_2005 | fa_2006 | fa_2007 | fa_2008 | fa_2009 | fa_2010 | fa_2011 | fa_2012 | fa_2013 | fa_2014 | fa_2015 | fa_2016 |  all_1994 | all_1995 | all_1996 | all_1997 | all_1998 | all_1999 | all_2000 | all_2001 | all_2002 | all_2003 | all_2004 | all_2005 | all_2006 | all_2007 | all_2008 | all_2009 | all_2010 | all_2011 | all_2012 | all_2013 | all_2014 | all_2015 | all_2016 | foo
249 | Katalinic, Visnja | THE UNIVERSITY OF CHICAGO | 1999 | female | 1 | 0 | 1999 | 2 | 1 | 2000 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 1 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
250 | Lopez, Robert Edwards | THE UNIVERSITY OF CHICAGO | 1999 | male | 10 | 16 | 2015 | 25 | 133 | 2017 | 2 | 1 | 1 | 1 | 1 | 4 | 1 | 1 | 0 | 1 | 4 | 0 | 0 | 0 | 3 | 1 | 1 | 1 | 1 | 0 | 1 | 1 | 0 |  4 | 4 | 2 | 4 | 6 | 5 | 2 | 2 | 2 | 7 | 5 | 10 | 4 | 3 | 11 | 8 | 10 | 12 | 21 | 3 | 11 | 9 | 9 |
251 | Monnier, John David | UNIVERSITY OF CALIFORNIA, BERKELEY | 1999 | male | 7 | 24 | 2017 | 10 | 150 | 2017 | 0 | 0 | 0 | 1 | 1 | 5 | 4 | 1 | 3 | 1 | 2 | 2 | 2 | 3 | 1 | 1 | 1 | 1 | 1 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 3 | 1 | 6 | 10 | 6 | 6 | 4 | 5 | 8 | 8 | 10 | 8 | 13 | 9 | 8 | 17 | 10 | 7 | 5 | 11 |
252 | Williams, Rosa Nina | UNIVERSITY OF ILLINOIS AT URBANA-CHAMPAIGN | 1999 | female | 1 | 1 | 2011 | 3 | 79 | 2017 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 |  1 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 1 | 8 | 8 | 3 | 2 | 2 | 2 | 2 | 4 | 9 | 8 | 18 | 9 | 2 |
253 | Benford, Dominic James | CALIFORNIA INSTITUTE OF TECHNOLOGY | 1999 | male | 3 | 8 | 2016 | 15 | 76 | 2016 | 0 | 0 | 0 | 0 | 1 | 2 | 0 | 0 | 1 | 0 | 3 | 0 | 0 | 1 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 1 |  3 | 1 | 2 | 3 | 3 | 3 | 3 | 1 | 3 | 0 | 5 | 3 | 5 | 4 | 3 | 3 | 9 | 7 | 8 | 8 | 8 | 5 | 1 |
254 | Goldin, Alexey | THE UNIVERSITY OF CHICAGO | 1999 | male | 2 | 3 | 2007 | 3 | 14 | 2016 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 2 | 0 | 1 | 1 | 0 | 2 | 0 | 0 | 2 | 3 | 1 | 0 | 2 | 1 | 0 | 0 | 0 | 0 | 0 | 2 |
255 | Sonnenschein, Andrew Harry | UNIVERSITY OF CALIFORNIA, SANTA BARBARA | 1999 | male | 1 | 0 | 1999 | 4 | 21 | 2016 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 1 | 0 | 1 | 2 | 2 | 0 | 4 | 0 | 0 | 1 | 0 | 1 | 2 | 1 | 0 | 1 | 2 | 2 | 1 | 2 | 2 |
256 | Mason, Christopher Garrett | UNIVERSITY OF MINNESOTA | 1999 | male | 4 | 1 | 2001 | 9 | 7 | 2017 | 0 | 0 | 1 | 0 | 2 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 1 | 2 | 2 | 3 | 1 | 0 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 2 |
257 | Moscoso, Michael Douglas | THE UNIVERSITY OF TEXAS AT AUSTIN | 1999 | male | 1 | 0 | 1999 | 1 | 0 | 1999 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
258 | Sposato, Stephanie Helen | WASHINGTON UNIVERSITY | 1999 | female | 2 | 0 | 1999 | 4 | 0 | 1999 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 1 | 0 | 3 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
